ItemId,Item,Category,Tier,Rarity,How to Obtain,Where to Find / Source,Crafted At,Recipe Unlocked By,Notes / Primary Use,Source Section,Referenced In
CMP_ADHESIVE_CARTRIDGE,Adhesive Cartridge,Component,1,Uncommon,Crafted,Crafted at: Chem Bench,Chem Bench,Chemistry,Repair,Field Manual Table 24 - Component Compendium,Recipe Input: RC_CON_FIBER_TAPE_ROLL | Recipe Input: RC_CON_PATCH_STRIP | Recipe Input: RC_CON_SEAL_TAPE_ROLL | Recipe Output: RC_CMP_ADHESIVE_CARTRIDGE | Recipe Input: RC_ATT_STOCK_PAD
CMP_ARMOR_PLATE_INSERT,Armor Plate Insert,Component,3,Uncommon,Crafted,Crafted at: Machine Bench,Machine Bench,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_ARMOR_PLATE_INSERT | Recipe Input: RC_EQP_COMPOSITE_VEST
CMP_BEARING_SET,Bearing Set,Component,1,Uncommon,Crafted,Crafted at: Machine Bench,Machine Bench,—,Repair,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_BEARING_SET | Recipe Input: RC_EQP_HATCHET_T3 | Recipe Input: RC_EQP_HATCHET_T3 | Recipe Input: RC_EQP_PICKAXE_T3 | Recipe Input: RC_EQP_PICKAXE_T3 | Recipe Input: REC_006
CMP_BRACKET_SET,Bracket Set,Component,1,Common,Crafted,Crafted at: Machine Bench,Machine Bench,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Input: RC_ATT_VERTICAL_GRIP | Recipe Input: RC_EQP_MULTI_TOOL | Recipe Output: RC_CMP_BRACKET_SET | Recipe Input: RC_EQP_HATCHET_T2 | Recipe Input: RC_EQP_HATCHET_T2 | Recipe Input: REC_003 | Recipe Input: RC_ATT_4X_SCOPE | Recipe Input: RC_CMP_OPTIC_LENS | Recipe Input: RC_ATT_COMPENSATOR | Recipe Input: REC_020 | Recipe Input: REC_021
CMP_BUCKLE_SET,Buckle Set,Component,0,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,"Repair,Build",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_BUCKLE_SET | Recipe Input: RC_EQP_LIGHT_ARMOR_VEST | Recipe Input: RC_MAT_ROPE_REEL | Recipe Input: RC_EQP_COMPOSITE_VEST | Recipe Input: REC_015
CMP_CABLE_TIE_BUNDLE,Cable Tie Bundle,Component,0,Common,Crafted,Crafted at: Chem Bench,Chem Bench,Polymers,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Input: RC_CMP_CONNECTOR_HOUSING | Recipe Output: RC_CMP_CABLE_TIE_BUNDLE
CMP_CAPACITOR_BANK,Capacitor Bank,Component,3,Rare,Crafted,Crafted at: Electronics Bench,Electronics Bench,—,Install,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_CAPACITOR_BANK | Recipe Input: RC_CON_BATTERY_CELL | Recipe Input: REC_019 | Research Supply Cost: Tools | Research Supply Cost: Armor | Research Supply Cost: Muzzle | Research Supply Cost: Magazines | Research Supply Cost: Wpn Smg | Research Supply Cost: Wpn Carbine | Research Supply Cost: Wpn Dmr | Research Supply Cost: Remnant Systems Fab | Build Cost: Electronics Bench | ...
CMP_CERAMIC_FILTER_CORE,Ceramic Filter Core,Component,2,Rare,Crafted,Crafted at: Kiln Oven,Kiln Oven,Ceramics,"Install,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_CERAMIC_FILTER_CORE | Research Supply Cost: Chemistry | Research Supply Cost: Thermal | Build Cost: Chem Bench
CMP_CERAMIC_INSULATOR,Ceramic Insulator,Component,2,Rare,Crafted,Crafted at: Kiln Oven,Kiln Oven,Ceramics,Install,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_CERAMIC_INSULATOR | Build Cost: Thermal Tap
CMP_CIRCUIT_BOARD,Circuit Board,Component,3,Uncommon,Crafted,Crafted at: Electronics Bench,Electronics Bench,Electronics,"Build,Install,Research",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_CIRCUIT_BOARD | Recipe Input: REC_019 | Build Cost: Electronics Bench
CMP_CLOTH_BOLT,Cloth Bolt,Component,1,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,—,Build,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_CLOTH_BOLT | Recipe Input: RC_EQP_FIELD_JACKET | Recipe Input: RC_EQP_LIGHT_ARMOR_VEST | Recipe Input: RC_EQP_THERMAL_UNDERLAYER
CMP_CONDUCTIVE_PASTE,Conductive Paste,Component,2,Rare,Crafted,Crafted at: Chem Bench,Chem Bench,Electronics,"Install,Repair",Field Manual Table 24 - Component Compendium,Recipe Input: RC_CMP_CIRCUIT_BOARD | Recipe Output: RC_CMP_CONDUCTIVE_PASTE | Research Supply Cost: Optics | Research Supply Cost: Optics | Research Supply Cost: Optics
CMP_CONNECTOR_HOUSING,Connector Housing,Component,1,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,Electronics,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_CONNECTOR_HOUSING
CMP_CONTACT_PIN_SET,Contact Pin Set,Component,1,Uncommon,Crafted,Crafted at: Machine Bench,Machine Bench,Electronics,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_CONTACT_PIN_SET | Recipe Input: RC_CMP_TERMINAL_BLOCK | Recipe Input: REC_007 | Recipe Input: RC_CMP_CIRCUIT_BOARD | Recipe Input: RC_CON_FUSE_LINK
CMP_FASTENER_SET,Fastener Set,Component,1,Common,Crafted,Crafted at: Anvil Forge,Anvil Forge,—,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_FASTENER_SET | Research Supply Cost: Camp | Research Supply Cost: Tools | Research Supply Cost: Woodwork | Research Supply Cost: Finishing | Research Supply Cost: Seals | Research Supply Cost: Machining | Research Supply Cost: Electronics | Research Supply Cost: Powergrid | Research Supply Cost: Tools | Research Supply Cost: Field Kit | Research Supply Cost: Armor | ...
CMP_FUSE_PACK,Fuse Pack,Component,1,Uncommon,Crafted,Crafted at: Electronics Bench,Electronics Bench,—,Repair,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_FUSE_PACK | Recipe Input: RC_CON_FUSE_LINK
CMP_GASKET_CUTOUT_SET,Gasket Cutout Set,Component,1,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,Seals,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_GASKET_CUTOUT_SET
CMP_GASKET_RING,Gasket Ring,Component,1,Common,Crafted,Crafted at: Camp Workbench,Camp Workbench,Seals,Repair,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_GASKET_RING | Recipe Input: RC_EQP_WATER_FILTER | Recipe Input: REC_005 | Recipe Input: RC_ATT_COMPENSATOR | Recipe Input: RC_ATT_SUPPRESSOR
CMP_GASKET_SHEET,Gasket Sheet,Component,0,Common,Crafted,Crafted at: Chem Bench,Chem Bench,Seals,"Build,Repair",Field Manual Table 24 - Component Compendium,Recipe Input: RC_CMP_GASKET_CUTOUT_SET | Recipe Input: RC_CMP_GASKET_RING | Recipe Output: RC_CMP_GASKET_SHEET
CMP_GEAR_SET,Gear Set,Component,2,Uncommon,Crafted,Crafted at: Machine Bench,Machine Bench,—,"Install,Repair",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_GEAR_SET | Recipe Input: RC_WPN_SMG_COMPACT | Recipe Input: REC_006
CMP_GLASS_FIBER_SPOOL,Glass Fiber Spool,Component,2,Rare,Crafted,Crafted at: Grinder,Grinder,—,Install,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_GLASS_FIBER_SPOOL
CMP_GLASS_SEAL,Glass Seal Ring,Component,2,Uncommon,Crafted,Crafted at: Camp Workbench,Camp Workbench,Seals,"Repair,Install",Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_GLASS_SEAL
CMP_GLASS_VIAL,Glass Vial,Component,1,Uncommon,Crafted,Crafted at: Grinder,Grinder,—,Use,Field Manual Table 24 - Component Compendium,Recipe Output: RC_CMP_GLASS_VIAL | Recipe Input: RC_CMP_CONDUCTIVE_PASTE | Recipe Input: RC_CMP_TANNING_SALTS
