ItemId,Item,Category,Tier,Rarity,How to Obtain,Where to Find / Source,Crafted At,Recipe Unlocked By,Notes / Primary Use,Source Section
REF_SURVIVAL_MANUAL,Survival Manual (Ripped Edition),Reference Component,,,Found,"Crash seat packs, abandoned camps",,,A battered instruction booklet used as the reference model for early camp setups.,Field Manual Table 0 - Reference Components Catalog
REF_TOOLMAKING_JIG,Toolmaking Jig,Reference Component,,,Found,"Maintenance lockers, engineering wrecks",,,A clamping jig that shows how the original tool heads were shaped.,Field Manual Table 0 - Reference Components Catalog
REF_SAWBLADE_PATTERN,Sawblade Pattern,Reference Component,,,Found,"Cargo crates near lumber stacks, rover bay wrecks",,,A template that lets your Engineer reproduce safe saw teeth geometry.,Field Manual Table 0 - Reference Components Catalog
REF_GALLEY_BURNER_HEAD,Galley Burner Head,Reference Component,,,Found,"Galley wrecks, field kitchens",,,A burner assembly used to replicate reliable heat control.,Field Manual Table 0 - Reference Components Catalog
REF_FORGE_DIE_SET,Forge Die Set,Reference Component,,,Found,"Engineering wrecks, machine rooms",,,"Heavy dies used to form brackets, fasteners, and simple hardware.",Field Manual Table 0 - Reference Components Catalog
REF_KILN_THERMOCOUPLE,Kiln Thermocouple,Reference Component,,,Found,"Ceramics labs, kiln sheds, thermal test sites",,,A sensor assembly used to stabilize kiln temperatures.,Field Manual Table 0 - Reference Components Catalog
REF_GRINDING_WHEEL_CORE,Grinding Wheel Core,Reference Component,,,Found,"Workshops, tool cabinets, ridge outposts",,,A core spindle used to build a stable grinder.,Field Manual Table 0 - Reference Components Catalog
REF_MACHINE_BENCH_GUIDE_RAIL,Machine Bench Guide Rail,Reference Component,,,Found,"Machine benches in wrecks, fabrication bays",,,A precision rail that enables accurate machining and fitting.,Field Manual Table 0 - Reference Components Catalog
REF_ELECTRONICS_DIAGNOSTIC_TESTER,Electronics Diagnostic Tester,Reference Component,,,Found,"Avionics wrecks, comms relay debris",,,A handheld tester used to validate circuits and power routing.,Field Manual Table 0 - Reference Components Catalog
REF_REACTOR_GLASS_SET,Reactor Glass Set,Reference Component,,,Found,"Med bay wrecks, chemistry carts",,,Special glassware used for controlled chemical processing.,Field Manual Table 0 - Reference Components Catalog
REF_POLYMER_EXTRUDER_NOZZLE,Polymer Extruder Nozzle,Reference Component,,,Found,"Polymer vats, lab storage, sealed lockers",,,A nozzle that proves the correct flow geometry for polymer sheets.,Field Manual Table 0 - Reference Components Catalog
REF_RECEIVER_ALIGNMENT_JIG,Receiver Alignment Jig,Reference Component,,,Found,"Armory wrecks, security caches",,,A jig that ensures firearm receivers are aligned and safe to assemble.,Field Manual Table 0 - Reference Components Catalog
REF_OPTICS_CALIBRATION_PRISM,Optics Calibration Prism,Reference Component,,,Found,"Avionics wrecks, survey towers, labs",,,A prism used to calibrate lenses and sighting systems.,Field Manual Table 0 - Reference Components Catalog
REF_PRIMER_DIE_SET,Primer Die Set,Reference Component,,,Found,"Armory benches, field ammo kits",,,A die set that standardizes primers and casings.,Field Manual Table 0 - Reference Components Catalog
REF_INVERTER_MODULE,Inverter Module,Reference Component,,,Found,"Power module wrecks, solar arrays, relay sheds",,,A power conversion module used as the reference for the grid.,Field Manual Table 0 - Reference Components Catalog
REF_THERMAL_COUPLER,Thermal Coupler,Reference Component,,,Found,"Thermal vent fields, sealed utility vaults",,,A coupler that interfaces with heat differentials for power and processing.,Field Manual Table 0 - Reference Components Catalog
REF_REMNANT_PRINTHEAD,Remnant Printhead,Reference Component,,,Found,"Remnant sites, trial vaults (rare)",,,A core assembly that allows the Remnant Printer to replicate high-precision parts.,Field Manual Table 0 - Reference Components Catalog
REF_ENCRYPTED_CORE_CAPSULE,Encrypted Core Capsule,Reference Component,,,Found,"Remnant sites, elite enemies (rare)",,,A sealed capsule with encrypted engineering data.,Field Manual Table 0 - Reference Components Catalog
LDR_PROOF_TOKEN,Proof Token,Reference Component,,,Found,Remnant Trials and elite encounters (rare),,,A physical token that proves you can access higher-tier remnant systems.,Field Manual Table 0 - Reference Components Catalog
