Variable,Kind,Default / Example,What it does,Where it goes,Source
ACCESS_AIR,,,"Low oxygen, smoke, or toxic atmosphere.",Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ACCESS_CLIMB,,,Vertical entry requiring rope/climb kit.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ACCESS_COLD,,,Extreme cold; requires thermal gear or heat source.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ACCESS_CUT,,,"Sealed bulkheads, bars, welded lockers.",Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ACCESS_HAZMAT,,,Bio/chem contamination.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ACCESS_POWER,,,Requires temporary power injection to open or to run a terminal.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ACCESS_PRY,,,"Jammed doors, bent frames.",Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ACCESS_RAD,,,Radiation pocket.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
AccessDifficultyScore,,,Referenced symbol in formula text.,Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
AccessTags,scalar,,"Meaning: Set of access requirements on compartments (ACCESS_CUT, ACCESS_POWER, ...).",Game Tunables / Runtime State,JIM_POI_and_Wreck_Sites_GDD_Addendum_v0_1.docx
ActivationBudget,scalar,,Meaning: Limited resource (parts/power/labor) used by a faction to bring prebuilt satellite sites online.,Game Tunables / Runtime State,JIM_Factions_and_Remnant_Sites_GDD_Addendum_v0_1-1.docx
AimStability,scalar,,Formula: AimStability = 0.50 + 0.05*DEX + 0.03*COM | Notes: Multiplies NPC weapon accuracy.,Game Tunables / Runtime State,"JIM_Leadership_Auras_GDD_Addendum_v0_1-1.docx, Jovian_Interloper_Moon_Math_Bible_FULL_v0_7.docx"
Ammo,,,Schema field (table header).,Game Tunables / Runtime State,JIM_Items_and_Loot_Tables_GDD_Addendum_v0_4a_CONCISE_EXPANDED_BASE_AND_CONSUMABLES.docx
