Research,Tier,Prerequisites,Required Components,Supply Cost,Research Effort,Unlocks,Source Section
Camp,0,None,Survival Manual (Ripped Edition); Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,Stations: Camp Workbench,Field Manual Table 1 - Major Research Catalog
Tools,0,Camp,Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,"Recipes: Hatchet (T1), Pickaxe (T1)",Field Manual Table 1 - Major Research Catalog
Woodwork,0,Tools,Sawblade Pattern; Toolmaking Jig,Glassbark Plank ×8; Fastener Set ×2; Binding Rope ×1,100 effort,Stations: Sawbench,Field Manual Table 1 - Major Research Catalog
Cooking,0,Camp,Galley Burner Head; Toolmaking Jig,Charcoal Chunk ×2; Ceramic Tile ×2; Pitch Jar ×1,100 effort,"Stations: Cookfire | Recipes: Cooked Meat, Hot Porridge, Jerky Strip, Tuber Stew",Field Manual Table 1 - Major Research Catalog
Metalwork,0,Tools,Forge Die Set; Toolmaking Jig,Scrap Metal ×8; Flux Pebble ×4; Plate Panel ×2,100 effort,Stations: Anvil Forge | Recipes: Plate Panel,Field Manual Table 1 - Major Research Catalog
Ceramics,0,Tools,Kiln Thermocouple; Toolmaking Jig,Cut Stone Block ×6; Mortar Paste ×4; Ceramic Crucible ×1,100 effort,"Stations: Kiln Furnace, Kiln Oven | Recipes: Ceramic Filter Core, Ceramic Insulator",Field Manual Table 1 - Major Research Catalog
Finishing,0,Tools,Grinding Wheel Core; Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,Stations: Grinder,Field Manual Table 1 - Major Research Catalog
Chemistry,0,Tools,Reactor Glass Set; Toolmaking Jig,Ceramic Filter Core ×1; Contact Cleaner Can ×1; Sealant Tube ×1; Pitch Jar ×1,100 effort,"Stations: Chem Bench | Recipes: Adhesive Cartridge, Sealant Tube",Field Manual Table 1 - Major Research Catalog
Polymers,0,Chemistry,Polymer Extruder Nozzle; Toolmaking Jig,Polymer Sheet ×3; Resin Nodule ×4; Sealant Tube ×1,100 effort,"Stations: Polymer Vat | Recipes: Cable Tie Bundle, Heat-Shrink Sleeve, Polymer Sheet",Field Manual Table 1 - Major Research Catalog
Seals,0,Polymers,Survival Manual (Ripped Edition); Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,"Recipes: Gasket Cutout Set, Gasket Ring, Gasket Sheet, Glass Seal Ring, O-Ring Kit",Field Manual Table 1 - Major Research Catalog
Tanning,0,Chemistry,Polymer Extruder Nozzle; Toolmaking Jig,Polymer Sheet ×3; Resin Nodule ×4; Sealant Tube ×1,100 effort,Recipes: Tanning Salts,Field Manual Table 1 - Major Research Catalog
Armory,0,Machining,Receiver Alignment Jig; Toolmaking Jig,Receiver Frame ×1; Barrel Blank ×1; Trigger Group ×1; Lube Packet ×2,100 effort,Stations: Armory Bench,Field Manual Table 1 - Major Research Catalog
Machining,1,"Metalwork, Finishing",Machine Bench Guide Rail; Toolmaking Jig,Plate Panel ×2; Terminal Block ×1; Fastener Set ×2; Sealant Tube ×1,250 effort,Stations: Machine Bench,Field Manual Table 1 - Major Research Catalog
Electronics,1,"Tools, Ceramics",Electronics Diagnostic Tester,Plate Panel ×2; Terminal Block ×1; Fastener Set ×2; Sealant Tube ×1,250 effort,"Stations: Electronics Bench | Recipes: Circuit Board, Conductive Paste, Connector Housing, Contact Pin Set, Fuse Link Pack, Solder Wire Spool, Terminal Block, Wire Coil…",Field Manual Table 1 - Major Research Catalog
