Canonical Micro-Research Catalog v1.1,,,,,,,,,
Category,MicroResearchId,Family,TierPercent,DisplayName,Effect,Cost,Prereq,Repeatable,SourceCorrection
Woodcutting,MR_WOODCUTTING_BARK_SAFE_CUTS_5,Bark-Safe Cuts,5,Bark-Safe Cuts (5%),+5% bark recovery from felled trees.,Scrap Metal ×2; Clear Grit ×2,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_BARK_SAFE_CUTS_7,Bark-Safe Cuts,7,Bark-Safe Cuts (7%),+7% bark recovery from felled trees.,Clear Grit ×2; Scrap Metal ×2,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_EDGE_MAINTENANCE_5,Edge Maintenance,5,Edge Maintenance (5%),+5% axe durability.,Clear Grit ×2; Flux Pebble ×2,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_EDGE_MAINTENANCE_7,Edge Maintenance,7,Edge Maintenance (7%),+7% axe durability.,Clear Grit ×2; Binding Rope ×1,Tools Research completed,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_FELLING_RHYTHM_5,Felling Rhythm,5,Felling Rhythm (5%),+5% log cutting speed.,Binding Rope ×1; Fiber Bundle ×2,Woodcutting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_FELLING_RHYTHM_7,Felling Rhythm,7,Felling Rhythm (7%),+7% log cutting speed.,Clear Grit ×2; Scrap Metal ×2,Woodcutting Skill 1+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_LOG_SLING_5,Log Sling,5,Log Sling (5%),-5% stamina drain while carrying logs.,Flux Pebble ×2; Charcoal Chunk ×1,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_LOG_SLING_7,Log Sling,7,Log Sling (7%),-7% stamina drain while carrying logs.,Clear Grit ×2; Scrap Metal ×2,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_QUIET_CHOP_5,Quiet Chop,5,Quiet Chop (5%),-5% chopping noise radius (safer harvesting).,Flux Pebble ×2; Fiber Bundle ×2,Woodcutting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_QUIET_CHOP_7,Quiet Chop,7,Quiet Chop (7%),-7% chopping noise radius (safer harvesting).,Scrap Metal ×2; Flux Pebble ×2,Woodcutting Skill 3+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
Woodcutting,MR_WOODCUTTING_BARK_SAFE_CUTS_10,Bark-Safe Cuts,10,Bark-Safe Cuts (10%),+10% bark recovery from felled trees.,Fiber Bundle ×2; Fastener Set ×1; Solder Wire Spool ×1,Woodcutting Skill 2+,Yes (stacks),Legacy legacy triple-digit percent rows normalized to ±15% where applicable
