Missions_Faction_Contracts,,,,,,,,
,,,,,,,,
MissionId,FactionArchetype,MissionName,Trigger,Objective,LocationRule,RewardDesign,RiskOrConsequence,ImplementationNotes
FQ_001,Commonwealth Camp,Shared Water Ledger,"Neutral relation, water scarcity",Help repair/secure water route; share filtration data.,Faction water source route,Mutual aid treaty; water trade if stock exists.,"If exploited, relation crash.",
FQ_002,Commonwealth Camp,Refugee Sponsorship,Refugee group between camps,Escort refugees to allied camp or split intake.,Route between camps,Faction relation +; reduced player food burden.,Ambush/sickness risk.,
FQ_003,Commonwealth Camp,Mutual Defense Bell,Faction threatened by raider splinter,Build signal/runner route and agree defense terms.,Between bases,Call-for-aid option on cooldown.,May drag player into wars.,
FQ_004,Security Junta,Proof of Discipline,They distrust weak camps,"Demonstrate patrol coverage, armory audit, or rescue their patrol.",Player base/faction route,Access to training services or visible surplus ammo trade.,Authoritarian camp dislike from civic leaders.,
FQ_005,Security Junta,The Cache Ledger,Ammo cache contested,Audit/cache handoff or sabotage raider claim.,ArmoryCache POI,Ammo trade if their stockpile can spare it; no hidden gift.,Theft starts conflict.,
FQ_006,Security Junta,Prisoner Transfer,They hold a prisoner/defector,"Negotiate custody, trial, trade, or escape.",Faction camp,Intel/recruit/morale outcome.,Moral compass friction.,
FQ_007,Science Directorate,Sample Exchange,They need classified sample,"Deliver verified sample, not unknown meat in a bag.",Lab/faction camp,Shared research protocol; lab access service.,"If unsafe, outbreak/relation loss.",
FQ_008,Science Directorate,Unsafe Experiment,Their method endangers people,"Stop, help contain, or steal data.",Directorate lab,Research data + moral shift.,Hostility or contamination.,
FQ_009,Science Directorate,Remnant Reading Pact,Both camps target same site,Coordinate readings and extraction rights.,Remnant Research Node,Reduced D wake chance if cooperative.,Betrayal locks future pacts.,
FQ_010,Engineer Compact,Parts For Power,They have tools but lack food/guards,Trade escort/food for use of fabrication time.,Engineer camp/route,"Temporary station service, because they own working station.",Convoy/raid risk.,
FQ_011,Engineer Compact,Bridge Crew,Route needs bridge/repair,Contribute materials/labor to shared route.,Canyon/route placeholder,Permanent route shortcut; both factions benefit.,"If unpaid, relation loss.",
FQ_012,Engineer Compact,Grid Isolation,Their generator destabilizes region/site,Help install isolation or sabotage unsafe tap.,PowerTap/faction camp,Power knowledge and relation.,D wake risk.,
FQ_013,Free Scavengers,Finders Keepers,They found POI first,"Negotiate salvage split, buy map, or race them fairly.",Random POI,Map/partial claim from their actual discovery.,Cheating triggers rivalry.,
FQ_014,Free Scavengers,No Bosses,They dislike strict policy,Let them operate as contractors or refuse access.,Player base/camp edge,"Specialist scavenging service, high autonomy.",Civic/security leader friction.,
FQ_015,Free Scavengers,The Bad Deal,Scavenger debt to raiders,"Pay, protect, expose, or exploit.",Scavenger camp/raider route,Ally/asset/intel depending choice.,Moral/faction consequence.,
FQ_016,Isolationist Holdfast,Do Not Bring It Here,They fear contamination,Prove quarantine discipline before trade.,Player quarantine/holdfast gate,Medical/food trade access.,Refugee-friendly leaders dislike harshness.,
FQ_017,Isolationist Holdfast,Closed Gate Medicine,"They have medicine, refuse entry","Trade from distance, force entry, or solve their fear source.",Holdfast camp,Medicine only if stock visible; relation depends.,Violence has big moral cost.,
FQ_018,Isolationist Holdfast,Border Lights,They want warning markers,Install shared boundary markers and no-go route.,Border region,Reduced accidental trespass conflict.,Player loses route freedom.,
FQ_019,Raider Splinter,The Price of Hunger,Raider group starving,"Feed, fight, recruit, or redirect them.",Wilderness/raider camp,Potential demobilization/recruits; or loot from defeated group.,Mercy may be exploited.,
FQ_020,Raider Splinter,Burn Their Teeth,Raider staging cache found,Destroy/steal/booby-trap cache before raid.,Raider outpost/cache,Enemy raid quality reduced; captured items from cache.,Retaliation.,
FQ_021,Raider Splinter,The Leader Is The Raid,Raider boss drives attacks,Kill/capture/turn/discredit leader.,Raider camp,Raid cadence reduction; possible splinter collapse.,Power vacuum.,
FQ_022,Remnant-Touched Cell,The Bright Lie,Cult/cell offers impossible tech,Investigate and expose cost/risk.,Remnant site/cell camp,"Truth, intel, possible tech only if physically extracted.",D volatility/corruption.,
FQ_023,Remnant-Touched Cell,Human Relay,They use captives for site access,Rescue captives or bargain with cell.,Recruitment Hold/Relay Bastion,Recruits/intel; moral boost.,Hostility/D wake.,
FQ_024,Remnant-Touched Cell,Cut The Signal,Capital alert relay active,Disable their relay before capital alert.,Relay Bastion,Capital pressure reduced.,Overclock timer.,
