Procedural_Mission_Templates,,,,,,,,
,,,,,,,,
TemplateId,Family,Template,Issuer,Eligibility,Parameters,RewardDesign,FailurePressure,ImplementationNotes
PT_COLLECT_RESEARCH,Research Collect,Collect {Count} of {SampleTag} from {BiomeTag|POITypeId} and deliver to {StationId}.,Research Leader,ResearchStage == Stalled && MissingSampleTag exists,"Count scales 1-8; location can be exact only if known, otherwise region hint.","StageProgress unblock, Protocol XP, small MR[Research].",Research remains stalled; IssueEscalationScore grows.,Use placeholder POIs if specific POI did not spawn.
PT_COLLECT_ENGINEER,Engineer Collect,Collect or fabricate {Count} of {ComponentTag} for {Buildable|Station|RepairClass}.,Engineer Leader,RepairDebt/BuildQueue/StationQueue blocked,Count scales 3-40 by tier; accept substitutes if SourceTags match.,Unblocks queued work; PartDefectChance/RepairDebt telemetry improves.,Build/repair stall and morale decay.,Use exact IDs where available.
PT_ROUTE_SAFE,Route Safety,Mark and secure a route from {OriginDepot} to {TargetNode|POI}.,Hunter/Military/Logistics,TripTime high OR casualties on route,"Requires markers, rest point, light/cover/escort depending risk.",RouteReliability +; TripRate improves.,Workers refuse/slow route.,Works for all roles.
PT_BUILD_INFRA,Build Infrastructure,Build {PlaceableId} at {LocationRule} and fill it with {RequiredStock}.,Any Leader,System lacks required structure,Placeable from current tech tier; stock counts scale.,System unlocked/safer; morale boost if visible.,System remains missing.,
PT_CLASSIFY,Classify Entity,"Observe, sample, research, and classify {Species|Plant|Food|Material}.",Research/Hunter/Farmer,CodexDiscoveryState < CODEX_RESEARCHED,Requires field observation + sample + lab effort.,Codex entry and safe handling; no free item.,Misuse risk persists.,
PT_RESCUE,Rescue / Recover,Recover {NPC|Body|DataCore|Animal} from {POI|Route|FactionSite}.,Civic/Medical/Military,"Distress, casualty, or captive clue","Can branch rescue, recover remains, or abandon.",MI/MG/faction relation outcome; possible recruit if alive.,"Death, trauma, faction consequences.",
PT_DEFEND,Defend Window,Prepare and survive {ThreatEvent} for {Duration}.,Military/Civic/Engineer,Raid/weather/D wake warning,"Requires physical prep: racks, lights, walls, med route, safe rooms.","BaseRisk reduction, morale confidence, leader XP.",Damage/casualties.,
PT_NEGOTIATE,Faction Negotiation,"Resolve {DisputeType} with {FactionId}: trade, route, prisoner, water, refugee, site claim.",Civic/Faction Envoy,Faction relation in negotiation range,Policy choices tracked in MoralCompassVector.,Relation/culture/access changes.,Conflict/escalation.,
PT_SITE_EXTRACTION,Site Extraction,Extract {ReferenceComponentId|RemnantModule} from {RemnantSiteId} and exfil before {Timer}.,Research/Engineer/Military,TechNode stall depends on site module,"Requires bulk haul, route, defense, and D wake management.",Major tech unlock; world state changes.,Overclock/death/lost component.,No shards.
PT_DEBUFF_RECOVERY,Leader Recovery,Help {LeaderNPC} overcome {ConditionDebuff} by completing a witnessed success under safe pressure.,Civic/Role Leader,Leader has persistent condition or Inexperienced tag,Objective depends on role and trauma source.,Condition magnitude/duration reduced or retired.,Debuff persists/worsens.,
PT_STOCKPILE,Stockpile Target,Raise {DepotId} to TargetStockpile of {ItemTag} and keep it for {Days}.,Quartermaster/Any,StorageDeficitMod high,Counts scale by population and difficulty.,"Stability, morale, auto-task tuning.",Scarcity spiral.,
PT_MICRO_RESEARCH,Micro Research,"Complete minor experiment {MicroResearchId}: collect proof, run station test, log result.",Research/Role Leader,MicroResearch available and prerequisites met,Usually 1-3 inputs + short effort.,Small stacking buff using multiplicative formula.,No buff.,Avoid 0% endpoints.
