Name,EntityId,DisplayName,Category,VariantStatus,BiomePrimary,BiomeSecondary,VisualSummary,Palette,GameplayRead,HarvestType,PrimaryDropItem,SecondaryDropItem,IsHazardOnHarvest,RegrowTimeHours,EliteVariant
PLT_LATTICE_BULB,PLT_LATTICE_BULB,Lattice Bulb,Plant,Base,BasaltShelf,MeltlineEdges,Waist-high hollow polygon bulb clusters with dark interior ribs.,Frosted glass white; smoky grey; black ribbing,Food / tuber source; easy-to-read edible geometry.,Hands,ITEM_LATTICE_TUBER,,false,18,
PLT_SPIRAL_REED,PLT_SPIRAL_REED,Spiral Reed,Plant,Base,WindPlains,ShallowFens,Corkscrew reeds with banded fibers and faintly luminous tips.,Muted straw; soft teal glow; damp brown root beds,Fiber + modest food source.,Knife,ITEM_SPIRAL_FIBER,ITEM_REED_GRAIN,false,12,
PLT_MELTPOD_RIND,PLT_MELTPOD_RIND,Meltpod Rind,Plant,Base,ThermalCracks,SteamVents,Ceramic pods fused to warm rock; seams part at dusk exposing wet gel interiors.,Warm beige; ember orange seams; wet amber gel,High-calorie but risky heat-biome food.,Hands,ITEM_MELTPOD_GEL,,true,24,
PLT_EMBER_LACE,PLT_EMBER_LACE,Ember Lace,Plant,Base,RidgeShadows,CraterWalls,Foil-thin filament veils on stone faces. Orange micro-veins pulse under raking light.,Burnt orange; metallic copper; dark shadow stone,Delicate but hazardous sap-bearing flora.,Knife,ITEM_EMBER_SAP,,true,36,
PLT_NULLMINT_NODES,PLT_NULLMINT_NODES,Nullmint Nodes,Plant,Base,MossFields,ColdBasins,Pebble-like nodules in dark moss mats. Crushing releases cooling vapor.,Black moss; pale mint vapour; grey nodules,Medicinal / nerve-soothing.,Hands,ITEM_NULLMINT,,false,20,
PLT_KNIFELEAF_FAN,PLT_KNIFELEAF_FAN,Knifeleaf Fan,Plant,Base,GlassDunes,WindCuts,Radial fans of rigid translucent silica-sharp leaves. Reads like a hazard sign.,Clear smoky glass; silver edge light,Cut hazard and harvesting challenge.,ProtectedHands,ITEM_KNIFELEAF_SHARD,ITEM_SILICA_FIBER,true,30,
PLT_RESIN_CHIMNEY,PLT_RESIN_CHIMNEY,Resin Chimney,Plant,Base,VentRims,SulfurRock,Stubby chimney stalks venting resin mist. Build layered collars over time.,Tar brown; amber resin; sulfur yellow accents,Resin resource source; heat-biome landmark.,Knife,ITEM_RESIN_BLOCK,,false,16,
PLT_SILK_CYST_VINE,PLT_SILK_CYST_VINE,Silk Cyst Vine,Plant,Base,CanyonWebs,ShadeGullies,Creeping vine masses with smooth teardrop cysts that unspool pale filaments when cut.,Wet olive; pearl white filaments; dark stems,Fiber / crafting support flora.,Knife,ITEM_SILK_FILAMENT,,false,14,
PLT_MAWCAP_BLOOM,PLT_MAWCAP_BLOOM,Mawcap Bloom,Plant,Base,WetBasins,ShadowFens,Heavy stalk fungus with lip-like cap aperture. Coughs spore bursts when disturbed.,Rot green; fleshy beige; bruised purple underside,Spore hazard; memorable fungal silhouette.,Knife,ITEM_MAWCAP_CAP,ITEM_SPORE_DUST,true,48,PLT_MAWCAP_BLOOM_PRIME
PLT_THREADMOLD_SHEET,PLT_THREADMOLD_SHEET,Threadmold Sheet,Plant/Fungus,Base,AbandonedStructures,Caves,Matte-black membrane mats on surfaces. Fine thread-lines crawl beneath skin under light.,Black velvet; oil sheen thread highlights,High-risk spore fungal growth.,Scraper,ITEM_THREADMOLD_MEMBRANE,,true,72,
PLT_FERRIC_BLOOM,PLT_FERRIC_BLOOM,Ferric Bloom,Plant,Base,IronBasalt,MagneticRidges,Metallic petal forms with dull red magnetic sheen. Orient toward local fields.,Dark iron red; gunmetal; black stems,Late-mid resource / research plant.,Hands,ITEM_FERRIC_PETAL,ITEM_MAGNETIC_DUST,false,40,
PLT_CRYSTAL_LICHEN,PLT_CRYSTAL_LICHEN,Crystal Lichen,Plant/Lichen,Base,IceCaves,HighRims,Angular crystalline plates like mineral growth until gel beads form at edges.,Blue-white; clear crystal; cold grey rock,Cold-biome hallucinogenic-adjacent lichen.,Chisel,ITEM_CRYSTAL_LICHEN_GEL,,false,96,
PLT_CINDER_THORN,PLT_CINDER_THORN,Cinder Thorn,Plant,Base,VentRims,CraterWalls,Low black shrub with ember-red thorn clusters and ash pods.,Charcoal black; ember red; ash grey,Painful harvest flora; visual warning plant.,ProtectedHands,ITEM_CINDER_THORN_ASH,ITEM_EMBER_THORN,true,28,
PLT_IRONBRINE_CUPS,PLT_IRONBRINE_CUPS,Ironbrine Cups,Plant,Base,WetBasins,IronBasalt,Cup-shaped saline growths collecting rust-colored mineral brine. Rims gleam with salt.,Oxide red; brine green; white salt bloom,Mineral-chemical ingredient flora.,Hands,ITEM_IRONBRINE,,false,6,
TRE_GLASSBARK,TRE_GLASSBARK,Glassbark,Tree,Base,BasaltShelf,MeltlineEdges,Pale translucent bark tree with visible internal rib structure. Sheds glassy flakes.,Milky white; pale cyan; grey wood core,General-purpose wood source.,Axe,ITEM_GLASSBARK_LOG,ITEM_GLASSBARK_FLAKE,false,240,
TRE_SLAGROOT,TRE_SLAGROOT,Slagroot,Tree,Base,ThermalCracks,CraterFloors,Squat heat-scarred tree with fused root pedestal. Bark crazed by thermal stress.,Dark brown; black; rust orange,Dense structural wood source.,HeavyAxe,ITEM_SLAGROOT_LOG,,false,360,
TRE_VELVETSPINE,TRE_VELVETSPINE,Velvetspine,Tree,Base,WindPlains,RidgeShadows,Tall trunk with soft-looking ribs hiding stiff spines. Visually promises flexibility and danger.,Deep brown; dusty mauve; pale ridges,Fibrous long-grain construction tree.,Axe,ITEM_VELVETSPINE_LOG,ITEM_VELVETSPINE_SPINE,true,300,
TRE_ASTERBARK,TRE_ASTERBARK,Asterbark,Tree,Base,MagneticRidges,HighRims,Dark hardwood with star-like mineral flecks that glitter under moving light.,Black-brown; silver sparkle; iron red undertones,Premium late-tier wood source.,Axe,ITEM_ASTERBARK_LOG,ITEM_ASTERBARK_FLECK,false,480,
