Missions_Leader_Directives,,,,,,,,,,,
,,,,,,,,,,,
MissionId,LeaderType,MissionCategory,Tier,MissionName,Trigger,ObjectiveTemplate,LocationRule,RequiredSystems,RewardDesign,FailurePressure,ImplementationNotes
LD_WOODCUT_001,Woodcutter Leader,Leader Directive,T0,"Empty Yard, Empty Walls",Log stockpile below TargetStockpile or first wall plan placed.,Collect {Count:8-18} of {MAT_*_LOG} and deposit into Log Yard; build/repair {Count:2-5} wall pieces.,Any nearby tree biome; avoid high predator density early.,Log Yard / Stick Rack / Fiber Rack,Woodcutter leader gains +LeadershipXP; MR[Woodcut]+4; unlock leader focus 'Timber Priority' for 24h.,Walls/repairs stall; BaseRisk slowly rises.,Uses StorageDeficitMod; no item reward.
LD_WOODCUT_002,Woodcutter Leader,Leader Directive,T0,The Wrong Wood Problem,Construction queued with mismatched material tags.,"Mark {Count:2-4} tree types, cut one sample each, and deliver to research/workbench for material notes.",BasaltShelf/WindPlains/MeltlineEdges placeholder.,Log Yard / Stick Rack / Fiber Rack,Unlock guidebook material tags; reduces waste in future wood recipes by small scalar.,Higher WasteChance until classified.,Teaches material identity.
LD_WOODCUT_003,Woodcutter Leader,Leader Directive,T1,Quiet Felling Line,Predator pressure or scout report near cutters.,"Clear/mark safe route, place {Count:2} noise markers, and fell {Count:6-10} logs without triggering predator alert.",Route from base to wood node.,Log Yard / Stick Rack / Fiber Rack,Leader condition 'Rattled Line' chance reduced; Silent Line aura can roll on future level-up.,Woodcutters may request escort or refuse range.,Mission reward is confidence/discipline.
LD_WOODCUT_004,Woodcutter Leader,Leader Directive,T1,Sled Before Shoulders,Repeated bulk-haul fatigue or E>=0.85 events.,Build one sled/travois and haul {Count:6-12} logs using it to Log Yard.,Base to tree node route.,Log Yard / Stick Rack / Fiber Rack,Unlock hauling assignment template; +TripRate for wood routes; +MR[Woodcut].,Fatigue injuries continue.,Physical logistics reward.
LD_WOODCUT_005,Woodcutter Leader,Leader Directive,T1,Edge Debt,Tool durability below threshold in woodcutting group.,Collect {Count:3-8} abrasive/repair components and schedule tool maintenance batch.,Workshop / Camp Workbench.,Log Yard / Stick Rack / Fiber Rack,Edge Maintenance aura training; DurLoss - temporary until next accident.,Tool breaks and productivity dips.,Engineer may co-issue if maintenance debt exists.
LD_WOODCUT_006,Woodcutter Leader,Leader Directive,T2,Firebreak Ring,BaseRisk + wildfire/thermal biome adjacency or predator route near base.,Clear vegetation line and build {Count:4-8} firebreak/visibility segments around camp.,Base perimeter; biome specific.,Log Yard / Stick Rack / Fiber Rack,Lower local predator approach cover; +MG if completed before next storm/night.,Thermal event spreads or predators approach unseen.,Worldgen-aware but location flexible.
LD_WOODCUT_007,Woodcutter Leader,Leader Directive,T2,High Grade Timber,Recipe chain requires a tiered plank or rare bark.,"Find and harvest {Count:4-10} from {TreeTypePlaceholder}; deliver samples first, then bulk logs.",Biome-tagged tree spawn placeholder.,Log Yard / Stick Rack / Fiber Rack,Unlock tree-specific route marker and Quality Sorting micro-directive.,Rare wood recipe stalls.,Avoids exact spawn dependency with fallback tree pool.
LD_WOODCUT_008,Woodcutter Leader,Leader Directive,T2,The Far Stand,Local trees low/regrowth slow.,Establish a forward log cache with shelter and marker near a distant forest stand.,"Any valid tree-rich POI/biome, outside StartSafeRadiusMeters.",Log Yard / Stick Rack / Fiber Rack,Creates forward depot route; leader gains Logistics aura XP.,Long-haul exposure continues.,Ties to CaravanRouteId later.
LD_WOODCUT_009,Woodcutter Leader,Leader Directive,T3,Storm Schedule,Weather causes repeated work interruptions.,Build covered staging or assign shift windows; complete {Hours:12-24} wood production with no storm injury.,Base/wood route.,Log Yard / Stick Rack / Fiber Rack,Storm Schedule aura eligible; FatigueGain reduction for department.,Injury chance and refusal rise.,Uses weather-aware tasking.
LD_WOODCUT_010,Woodcutter Leader,Leader Directive,T3,Timber for the Wall,Major raid warning or planned expansion.,Deliver {Count:20-40} logs/planks to ConstructionDepotId before raid window.,Base construction depot.,Log Yard / Stick Rack / Fiber Rack,Temporary LeaderOverrideMod for construction inputs; +MG if defense ready.,Raid hits weak walls.,Crosses woodcutter-engineer chain.
LD_WOODCUT_011,Woodcutter Leader,Leader Directive,T4,The Living Grove,Resource exhaustion risk in safe zone.,"Protect regrowth area, tag burn orders, and prohibit overharvest for {Days:2-5}.",Safe-zone grove / biome patch.,Log Yard / Stick Rack / Fiber Rack,RegrowthTickDays telemetry visible; long-term wood route sustainability.,Safe zone becomes barren; workers travel farther.,Not a fetch quest; it changes AI rules.
LD_WOODCUT_012,Woodcutter Leader,Leader Directive,T5,Master of the Line,Woodcutter leader reaches high skill but has unresolved condition.,"Complete a full production cycle: harvest, haul, repair tools, and defend route without player direct hauling.",Any established route.,Log Yard / Stick Rack / Fiber Rack,Retire one woodcutter leader debuff; upgrade leader quality roll by one tier cap for next aura.,Debuff persists.,Late-game leader mastery mission.
LD_MINER_001,Miner Leader,Leader Directive,T0,Stone Before Ambition,Stone/ore depot under target.,Mine and deposit {Count:12-24} stone or scrap into correct depots.,Nearest StoneNode/ScrapNode.,Stone Pile / Scrap Heap / Ore Bins,MR[Miner]+4; unlock mine route task.,Construction/forge stalls.,Basic stockpile mission.
