Missions_Main_Questline,,,,,,,,,,
,,,,,,,,,,
MissionId,Arc,MissionName,MissionType,Issuer,Trigger,Objective,LocationRule,RewardDesign,FailurePressure,ImplementationNotes
MQ_000,Act 0 - Impact,Cryo Wake,Main,World / Expedition Log / Active Leader,New game begins in a damaged survivor pod.,"Exit pod, recover emergency cord kit, stabilize bleeding, and reach daylight.",Fixed: PlayerStart crash pod inside StartSafeRadiusMeters.,"Tutorial authority: unlock basic interaction, body HUD, and emergency inventory. No external reward.",Delay increases hypothermia/dehydration.,"Teaches immediate survival, not quest UI dependency."
MQ_001,Act 0 - Impact,The First Safe Pocket,Main,World / Expedition Log / Active Leader,Player leaves pod.,"Find or construct a windbreak, place first camp marker, and cache one safe ration stack.",Near PlayerStart; use safe-start biome whitelist.,"BaseClaimToken, camp marker, +5 MG because survivors see a rally point.",Night without shelter adds morale shock.,"The reward is the player's own established camp, not an NPC gift."
MQ_002,Act 0 - Impact,Voices in the Debris,Main,World / Expedition Log / Active Leader,After first shelter marker.,"Locate the first survivor signal, recover 1-3 survivors, and escort them to camp.",POI placeholder: SurvivorPod or CryoPodCluster within start band.,Population unlock; first potential leader candidate; survivors bring personal inventory only.,Survivors can die if ignored for too many days.,"Sets up leadership as people, not menu classes."
MQ_003,Act 0 - Impact,Water Before Fire,Main,World / Expedition Log / Active Leader,After first survivor recovery.,"Secure any two water sources: boiled crash water, filtered basin water, or stored ration water.","GalleyWreck, MeltlineEdge, or crash tank placeholder.",Water routine unlocked; +MR to all recovered survivors; Research learns WaterSafety_Pending.,Unsafe water causes sickness chain.,Avoids random tech reward; unlock is procedural knowledge.
MQ_004,Act 0 - Impact,First Night Protocol,Main,World / Expedition Log / Active Leader,Dusk approaching or first day complete.,"Light camp, assign rest, place emergency food/water, and survive one night.",Base camp.,Unlock daily colony report and first leader complaint system.,Night predator/raid risk if noise high.,First explicit introduction of daily diagnostics.
MQ_005,Act 1 - Stabilization,No Global Stockpile,Main,World / Expedition Log / Active Leader,Player gathers enough mixed materials.,"Build Log Yard, Stone Pile, Pantry, and Scrap Heap; deposit correct items into correct depots.",Base camp.,Station pull logic enabled; +10 MR for workers due readable supply flow.,Crafting stalls if depots not built.,Teaches physical logistics law.
MQ_006,Act 1 - Stabilization,A Place for Work,Main,World / Expedition Log / Active Leader,Depot tutorial complete.,Build ST_CAMP_WORKBENCH and craft first repair kit.,Base camp.,Repair loop unlocked; leader issue state can report maintenance debt.,Structures decay slowly if ignored.,Camp Workbench remains T0 fail-safe.
MQ_007,Act 1 - Stabilization,Names on the Board,Main,World / Expedition Log / Active Leader,3+ survivors alive.,Assign at least three roles and appoint a temporary leader for one department.,Base camp.,Leadership XP begins; leader panel unlocked.,Wrong assignments create CrossRolePenalty warnings.,Any NPC can be leader; this starts weak by design.
MQ_008,Act 1 - Stabilization,"Safe Known, Unknown, Suspect",Main,World / Expedition Log / Active Leader,Player obtains native food or meat.,Classify first food source or rely on sealed Earth food until sample is researched.,Research bench / Pantry.,CodexDiscoveryState and EdibilityState UI unlock.,Eating unknown food risks illness.,Reinforces EarthSealed safe floor.
MQ_009,Act 1 - Stabilization,The Missing Tool Chain,Main,World / Expedition Log / Active Leader,Research or Engineering stalls.,Recover one REF_BASIC_TOOLING reference component from a tool-gated wreck.,EngineeringWreck or WorkshopContainer placeholder.,Unlock basic tool recipes and micro-research queue slot 1.,Colonists suffer repair backlog.,Core no-shards unlock: haul the object home.
